"sale_date";"sale_time";"customer_id";"gender";"age";"category";"quantiy";"price_per_unit";"cogs";"total_sale"
"2022-11-05";"10:47:00";117;"Male";41;"Clothing";3;300;129;900
"2022-07-09";"11:00:00";52;"Male";46;"Beauty";3;500;145;1500
"2022-12-12";"10:48:00";5;"Female";40;"Clothing";4;300;84;1200
"2022-01-06";"08:53:00";85;"Male";41;"Clothing";3;300;129;900
"2022-11-14";"08:35:00";48;"Male";46;"Beauty";3;500;235;1500
"2022-08-20";"07:40:00";49;"Female";40;"Clothing";4;300;144;1200
"2022-10-31";"09:38:00";144;"Female";64;"Clothing";3;50;23;150
"2022-04-22";"11:09:00";54;"Male";19;"Electronics";3;30;15;90
"2022-04-08";"08:43:00";66;"Female";37;"Clothing";3;500;235;1500
"2022-05-18";"10:18:00";6;"Female";19;"Beauty";1;25;11;25
"2022-05-04";"10:52:00";120;"Female";64;"Clothing";3;50;27;150
"2022-03-19";"08:59:00";58;"Male";19;"Electronics";3;30;15;90
"2022-01-17";"07:07:00";59;"Female";37;"Clothing";3;500;185;1500
"2022-08-17";"11:34:00";102;"Female";19;"Beauty";1;25;8;25
"2022-12-18";"06:56:00";137;"Female";26;"Beauty";2;300;93;600
"2022-11-23";"10:18:00";1;"Female";26;"Beauty";2;300;102;600
"2022-07-16";"09:11:00";150;"Male";30;"Beauty";3;30;8;90
"2022-07-09";"07:02:00";50;"Female";23;"Clothing";3;50;27;150
"2022-03-06";"10:22:00";82;"Male";38;"Beauty";2;500;175;1000
"2022-04-01";"08:15:00";1;"Male";30;"Beauty";3;30;11;90
"2022-01-29";"07:05:00";12;"Female";23;"Clothing";3;50;23;150
"2022-05-04";"07:19:00";98;"Male";38;"Beauty";2;500;220;1000
"2022-12-30";"07:03:00";123;"Female";57;"Electronics";1;50;18;50
"2022-03-25";"07:37:00";68;"Male";19;"Beauty";2;25;6;50
"2022-03-10";"11:31:00";17;"Female";0;"Electronics";2;500;190;1000
"2022-04-15";"11:38:00";16;"Female";0;"Electronics";1;50;16;50
"2022-03-01";"11:29:00";130;"Male";0;"Beauty";2;25;9;50
"2022-12-25";"06:24:00";67;"Female";0;"Electronics";2;500;245;1000
"2022-04-13";"08:25:00";89;"Female";0;"Electronics";4;30;16;120
